bedrijf,medewerker_id,naam,leeftijd,geslacht,afkomst,provincie,studie_niveau,opleidingsrichting,specialisatie,werkervaring_jaren,dienstjaren,functie,afdeling,team,senioriteit,mindset,persoonlijkheidsstijl,politiek,technologische_kennis,%_werk_op_computer,%_werk_met_machines,mobiliteit,lease_auto,thuiswerkpercentage,communicatiestijl,feedbackstijl,leiderschapstype,besluitvormingstype,gebruik_van_data,trainingen_per_jaar,deelname_AI_project,deelname_communities,mentorschap,sociale_connecties_op_werk,werktevredenheid,zingeving_in_werk,burnout_risico,autonomie,invloed_op_beslissingen,verwachting_AI_in_werk,kennis_nieuwe_technologie,projectcomplexiteit,werkdruk,rol_in_verandering,houding_risico,conformisme,creativiteit,leerstijl,motivatiebron,compliance_bewustzijn,veiligheidscultuur_HSE,IT_afhankelijkheid_rol,field_vs_kantoor,shiftwerk,klantcontact_intensiteit,stakeholder_complexiteit,regulering_exposure,budgetverantwoordelijkheid,besluitsnelheid_persoonlijk,veranderhistorie_succes,tech_champion_netwerk,tooling_voorkeur,documentatiediscipline,kwaliteitsfocus,duurzaamheidshouding,inclusieve_houding,vertrouwen_in_management,vertrouwen_in_collegas,issue_escalatiestijl,besluit_rationaliteit,teamgrootte,salaris_per_maand_eur
Volker Nexus Group,VNG-AH6Q9O,Lina Wildschut,56,V,Surinaams-Nederlands,Groningen,MBO,Rechten,Predictive Maintenance,4,4,Servicemonteur,Commercie/BD,Team-41,Junior-Medior,Reactief,INFJ,Rechts,3,51,50,Auto,Ja,50,Formeel,Voorzichtig,Afwezig,Consensus,Wekelijks,4,Ja,4,Geen,Hoog,1,1,1,2,2,Kans,1,Gemiddeld,3,Volger,Risk-seeking,Laag,5,E-learning,Zingeving,4,1,Hoog,100% field,2-ploeg,Midden,Hoog,Laag,Middel,Gemiddeld,Laag,Nee,Microsoft Teams,1,5,Sceptisch,4,1,3,Proactief,Data-gedreven,39,3840
Volker Nexus Group,VNG-ENWLIV,Fenna van Kasteelen,37,X,Nederlands,Noord-Brabant,MBO,Architectuur,NEN-2767,8,5,Teamleider Uitvoering,Data & Analytics,Team-49,Medior,Conservatief,ENFJ,Centrum-rechts,1,66,27,Te voet,Nee,100,Informeel,Indirect,Sturend,Consensus,Wekelijks,3,Ja,5,Mentor,Gemiddeld,4,1,4,4,2,Verlies,3,Hoog,3,Change champion,Risk-averse,Laag,4,Klassikaal,Geld,2,2,Midden,50/50,Geen,Midden,Midden,Midden,Geen,Traag,Laag,Ja,Zoom,1,5,Neutraal,3,5,4,Stilhouden,Intuïtief,13,6688
Volker Nexus Group,VNG-0L9CT0,Lina Oosterhout,41,X,Nederlands,Flevoland,MBO,Geodesie,RAG,7,1,Voorman,Uitvoering,Team-07,Medior,Conservatief,ESTJ,Centrum-rechts,4,60,59,Auto,Nee,100,Verbindend,Indirect,Sturend,Autonoom,Dagelijks,4,Ja,1,Mentor,Gemiddeld,5,5,5,1,3,Verlies,2,Hoog,1,Change champion,Neutraal,Midden,4,E-learning,Geld,1,2,Midden,50/50,3-ploeg,Laag,Laag,Midden,Klein,Gemiddeld,Midden,Ja,Microsoft Teams,1,4,Neutraal,3,1,1,Formalistisch,Intuïtief,24,5489
Volker Nexus Group,VNG-7HEM6B,Quinn Verhoeven,20,V,Nederlands,Groningen,WO,Veiligheidskunde,UAV-gc,1,1,Business Developer,Infra,Team-43,Starter,Visionair,ESTP,Centrum,5,26,38,Te voet,Ja,25,Formeel,Voorzichtig,Ondersteunend,Consensus,Maandelijks,4,Ja,3,Beide,Gemiddeld,4,5,1,5,5,Verlies,3,Hoog,1,Volger,Risk-averse,Laag,1,On-the-job,Zekerheid,4,3,Laag,50/50,2-ploeg,Hoog,Hoog,Laag,Klein,Gemiddeld,Hoog,Nee,Google Meet,2,3,Neutraal,3,2,4,Stilhouden,Data-gedreven,20,4624
Volker Nexus Group,VNG-6NQH5A,Thomas van Boulogne,42,M,Nederlands,Groningen,MBO,HRM,Calculatie,9,6,Werkplaatschef,Infra,Team-44,Medior,Innovatief,ESFP,Centrum,1,60,50,Auto,Ja,0,Verbindend,Direct,Ondersteunend,Consensus,Dagelijks,6,Nee,5,Mentor,Gemiddeld,4,2,1,3,2,Verlies,1,Hoog,1,Volger,Risk-averse,Hoog,5,Coaching,Geld,2,2,Midden,50/50,Geen,Midden,Hoog,Hoog,Geen,Traag,Laag,Nee,Slack,5,5,Proactief,5,2,4,Formalistisch,Data-gedreven,32,6402
Volker Nexus Group,VNG-OEANTB,Keano van der Heijden,61,V,Turks-Nederlands,Gelderland,MBO,Technische Bedrijfskunde,Wind,4,1,Voorman,Bouw,Team-35,Junior-Medior,Innovatief,ESTJ,Links,1,58,50,Mix,Ja,100,Feitelijk,Direct,Ondersteunend,Autonoom,Zelden,3,Nee,2,Beide,Laag,2,1,4,1,2,Kans,3,Hoog,2,Volger,Risk-averse,Hoog,5,On-the-job,Status,5,1,Laag,25/75,3-ploeg,Midden,Hoog,Hoog,Klein,Snel,Hoog,Nee,Slack,4,5,Sceptisch,3,2,5,Formalistisch,Ervarings-gedreven,37,4480
Volker Nexus Group,VNG-E6WMGV,Marijn Simonis,26,X,Nederlands,Zuid-Holland,HBO,Installatietechniek,GIS,19,14,Werkvoorbereider,Infra,Team-18,Senior,Neutraal,ISFP,Centrum,3,0,28,Mix,Nee,50,Verbindend,Voorzichtig,Coachend,Top-down,Zelden,1,Ja,4,Geen,Gemiddeld,2,1,1,2,2,Verlies,1,Hoog,3,Volger,Risk-seeking,Midden,2,On-the-job,Geld,4,5,Laag,100% kantoor,3-ploeg,Hoog,Laag,Hoog,Groot,Traag,Midden,Nee,Zoom,5,2,Proactief,5,2,5,Stilhouden,Intuïtief,16,8632
Volker Nexus Group,VNG-GQ0OHF,Evi Weylant,50,M,Antilliaans-Nederlands,Utrecht,WO,Logistiek,Geotechniek,23,8,Werkvoorbereider,Uitvoering,Team-28,Senior,Visionair,ENFJ,Centrum-rechts,1,25,26,Auto,Nee,0,Verbindend,Voorzichtig,Ondersteunend,Top-down,Maandelijks,3,Ja,4,Mentor,Laag,4,1,1,1,5,Kans,5,Hoog,4,Change champion,Risk-averse,Laag,1,E-learning,Groei,2,3,Hoog,100% field,3-ploeg,Laag,Hoog,Midden,Geen,Traag,Midden,Nee,Google Meet,4,5,Neutraal,4,2,5,Proactief,Data-gedreven,23,8840
Volker Nexus Group,VNG-XAJJMT,Amy Wolffel-van Herstal,34,M,Pools-Nederlands,Limburg,WO,Toegepaste Psychologie,PV/Zonne-energie,26,16,BIM-modelleur,Data & Analytics,Team-18,Senior,Conservatief,INFJ,Centrum-links,4,70,11,Auto,Ja,100,Verbindend,Voorzichtig,Afwezig,Top-down,Zelden,3,Nee,1,Mentor,Laag,3,3,4,1,1,Neutraal,5,Laag,2,Volger,Risk-seeking,Midden,3,E-learning,Status,5,2,Hoog,100% field,2-ploeg,Midden,Hoog,Laag,Geen,Gemiddeld,Hoog,Ja,Microsoft Teams,5,1,Proactief,2,3,4,Proactief,Intuïtief,36,8060
Volker Nexus Group,VNG-PE5MFN,Adriana van der Lede,49,X,Surinaams-Nederlands,Zuid-Holland,HBO,Installatietechniek,Systems Engineering,2,1,Recruiter,Engineering,Team-25,Junior,Visionair,INFJ,Links,5,23,16,Auto,Nee,100,Feitelijk,Indirect,Afwezig,Consensus,Zelden,4,Ja,4,Mentee,Gemiddeld,5,3,4,3,5,Neutraal,3,Laag,1,Change champion,Risk-seeking,Laag,2,On-the-job,Status,1,3,Hoog,25/75,Geen,Hoog,Midden,Laag,Klein,Gemiddeld,Hoog,Nee,Slack,2,1,Proactief,1,4,2,Stilhouden,Intuïtief,29,3914
Volker Nexus Group,VNG-0OFF4V,Cornelia van Cuijck,32,V,Nederlands,Noord-Brabant,HBO,Veiligheidskunde,ARBO,6,6,IT Support,Duurzaamheid,Team-09,Junior-Medior,Innovatief,ENFJ,Centrum-rechts,1,70,74,OV,Ja,25,Verbindend,Voorzichtig,Ondersteunend,Consensus,Wekelijks,5,Nee,5,Mentee,Laag,2,2,5,2,1,Kans,1,Laag,3,Volger,Neutraal,Laag,5,Klassikaal,Geld,2,5,Midden,100% field,Geen,Hoog,Laag,Hoog,Middel,Gemiddeld,Midden,Nee,Zoom,3,3,Neutraal,2,1,1,Proactief,Intuïtief,38,3860
Volker Nexus Group,VNG-UG15KA,Stan Geertsen-van Gastel,47,X,Surinaams-Nederlands,Utrecht,MBO,Milieukunde,Betonconstructies,6,3,Voorman,Uitvoering,Team-35,Junior-Medior,Conservatief,ISTP,Centrum,4,60,50,OV,Nee,75,Formeel,Indirect,Coachend,Consensus,Wekelijks,2,Ja,5,Geen,Hoog,3,4,3,3,2,Verlies,3,Hoog,3,Volger,Risk-averse,Midden,4,Coaching,Status,5,3,Midden,50/50,Geen,Hoog,Hoog,Laag,Geen,Gemiddeld,Midden,Ja,Slack,4,5,Neutraal,2,5,3,Proactief,Intuïtief,37,4820
